Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
liuderchi                       0       0      5        1         4     10
u5r0                            0       0      5        0         5     10
itsjzt                          0       0      5        1         4     10
hill                            0       0      5        1         4     10
jaseemabid                      0       0      5        1         4     10
darrylabbate                    0       0      5        0         5     10
julienc91                       0       0      5        2         3     10
derphilipp                      0       0      5        1         4     10
stets                           0       0      5        0         5     10
BinaryBrain                     0       0      5        0         5     10
sarav-egnaroinc                 0       0      5        4         1     10
glmdev                          0       0      5        1         4     10
smzm                            0       0      5        3         2     10
dhatch48                        0       0      5        2         3     10
a-b                             0       0      5        1         4     10
shanoaice                       0       0      5        2         3     10
tonytheleg                      0       0      5        1         4     10
SimonVerhoeven                  0       0      5        1         4     10
z7y8hsBP                        0       0      5        0         5     10
williambelle                    0       0      5        0         5     10
fanfly                          0       0      5        2         3     10
quentin-bettoum                 0       0      5        0         5     10
gfda                            0       0      5        0         5     10
sanehab                         0       0      5        0         5     10
Linkid                          0       0      5        0         5     10
DoPaNik                         0       0      5        2         3     10
teeteejo                        0       0      5        0         5     10
Bodyhealer                      0       0      5        2         3     10
noemi3                          0       0      5        0         5     10
MrBurrBurr                      0       0      5        1         4     10
andoniaf                        0       0      5        0         5     10
deeeeeeps                       0       0      5        0         5     10
Rudokhvist                      0       0      5        0         5     10
mrskizzex                       0       0      5        0         5     10
Miyuutsu                        0       0      5        0         5     10
IranNeto                        0       0      5        3         2     10
aaaawwWWWwwwwWWW                0       0      5        0         5     10
nachoSource                     0       0      5        0         5     10
thomas-m-d                      0       0      5        1         4     10
shu-pf                          0       0      5        0         5     10
legendqi                        0       0      5        2         3     10
naltun                          0       0      5        1         4     10
syleung                         0       0      5        0         5     10
burned42                        0       0      5        0         5     10
sdahlbac                        0       0      5        0         5     10
bartmalanczuk                   0       0      5        0         5     10
uh-zz                           0       0      5        0         5     10
desc4rtes                       0       0      5        1         4     10
paeneumbra                      0       0      5        0         5     10
kruczyna                        0       0      5        0         5     10
panilya                         0       0      5        0         5     10
guohanli                        0       0      5        0         5     10
Faro1991                        0       0      5        0         5     10
ShivamJoker                     0       0      5        0         5     10
gjbianco                        0       0      5        0         5     10
Kisielos10                      0       0      5        1         4     10
EvaMatz                         0       0      5        0         5     10
Muskan-Git-Code                 0       0      5        1         4     10
dinaisrael                      0       0      5        0         5     10
psycsge                         0       0      5        0         5     10
yuiseki                         0       0      5        0         5     10
KRyTeX1337                      0       0      5        2         3     10
aditya955                       0       0      5        0         5     10
szarnyasg                       0       0      5        0         5     10
TornaxO7                        0       0      5        0         5     10
parth93QA                       0       0      5        0         5     10
hamexhanif                      0       0      5        0         5     10
TheBulaDev                      0       0      5        0         5     10
onkar717                        0       0      5        1         4     10
hatchling13                     0       0      5        1         4     10
MIfoodie                        0       0      5        1         4     10
swoh816                         0       0      5        0         5     10
jimmychang851129                0       0      5        1         4     10
AnirudhG07                      0       0      5        0         5     10
rvandernoort                    0       0      5        0         5     10
DarkMatter-999                  0       0      5        0         5     10
Kefaku                          0       0      5        0         5     10
Nissaar                         0       0      5        2         3     10
canonnizq                       0       0      5        0         5     10
Promix953                       0       0      5        0         5     10
paulinek13                      0       0      5        0         5     10
marcos-aparicio                 0       0      5        0         5     10
Lingshinx                       0       0      5        0         5     10
rodecuir                        0       0      5        0         5     10
pranaovs                        0       0      5        0         5     10
roguehashrate                   0       0      5        1         4     10
TheRealGabHas                   0       0      5        0         5     10
WilliamAboucaya                 0       0      5        0         5     10
UsmanAhmadSaeed                 0       0      5        2         3     10
JanviNandre                     0       0      5        2         3     10
pete-may                        0       0      5        0         5     10
th3t3ngu                        0       0      5        5         0     10
Dodothereal                     0       0      5        5         0     10
evan-william                    0       0      5        1         4     10
0xBassia                        0       0      5        5         0     10
huangweiping6666                0       0      5        5         0     10
ocean-sudo                      0       0      5        0         5     10
dbrgn                           1       0      4        1         3      9
Emmet-Ray                       0       0      5        0         4      9
Tug                             1       1      3        0         3      8
meetwudi                        2       2      2        0         2      8
maonx                           1       1      3        2         1      8
mashehu                         2       2      2        0         2      8
deekim                          1       1      3        0         3      8
juan88                          1       1      3        0         3      8
ahmetb                          4       4      0        0         0      8
colinmorris                     2       2      2        0         2      8
Jab2870                         2       2      2        1         1      8
urbalazs                        1       1      3        1         2      8
aaronjanse                      1       1      3        0         3      8
grafst                          2       2      2        0         2      8
StewAlexander-com               4       4      0        0         0      8
pascaliske                      1       1      3        1         2      8
nnrepos                         1       1      3        0         3      8
NSExceptional                   1       1      3        2         1      8
Izzur                           2       2      2        0         2      8
rachithaiyappa                  2       2      2        1         1      8
fracturedprism                  2       2      2        1         1      8
seasonedfish                    2       2      2        0         2      8
FukurouMakoto                   2       2      2        0         2      8
sourcefrog                      1       1      3        0         3      8
maniyar1                        2       2      2        1         1      8
Shashank-Venkatesh              1       1      3        3         0      8
ayushnandi718-dev               2       2      2        2         0      8
pranavraja                      0       0      4        0         4      8
naxoc                           0       0      4        0         4      8
ntodd                           0       0      4        1         3      8
Gubolin                         0       0      4        0         4      8
blackpioter                     0       0      4        1         3      8
hollingberry                    0       0      4        3         1      8
Qtrain                          0       0      4        4         0      8
audibleblink                    0       0      4        2         2      8
shybovycha                      0       0      4        1         3      8
rakeshdas1                      0       0      4        4         0      8
kuanyui                         0       0      4        1         3      8
steelywing                      0       0      4        1         3      8
yuriskinfo                      0       0      4        0         4      8
rgcr                            0       0      4        0         4      8
zvonimirr                       0       0      4        1         3      8
danielbayley                    0       0      4        0         4      8
slicer69                        0       0      4        2         2      8
pollev                          0       0      4        0         4      8
J053Fabi0                       0       0      4        2         2      8
niklas-heer                     0       0      4        1         3      8
thescalaguy                     0       0      4        1         3      8
johan456789                     0       0      4        2         2      8
mspear                          0       0      4        1         3      8
jyrodgers                       0       0      4        3         1      8
Lightyagami1                    0       0      4        3         1      8
cbohn4                          0       0      4        2         2      8
ckauf                           0       0      4        1         3      8
