Repo   : tldr-pages/tldr
Período: histórico completo

Issues en período: 1788
PRs en período: 21596

Colaborador                Issues  I.Cerr    PRs  PR.Cerr  PR.Merge     SC
berliozd                        1       1      0        0         0      2
Baerbeisser                     1       1      0        0         0      2
BlendyDev                       1       1      0        0         0      2
Nekosis                         1       1      0        0         0      2
edwinjhlee                      1       1      0        0         0      2
mahmoudhossam                   1       1      0        0         0      2
MattBoiarski                    1       1      0        0         0      2
joehays                         1       1      0        0         0      2
Kimbix                          1       1      0        0         0      2
AndyDralle                      1       1      0        0         0      2
q2333gh                         1       1      0        0         0      2
eliminmax                       1       1      0        0         0      2
alexaldearroyo                  1       1      0        0         0      2
ARMummert                       1       1      0        0         0      2
Liselot3                        1       1      0        0         0      2
SaProgrammer                    1       1      0        0         0      2
VaultSoldier                    1       1      0        0         0      2
TravelTrader                    1       1      0        0         0      2
kabrol98                        1       1      0        0         0      2
3xploiton3                      1       1      0        0         0      2
natedawg20                      1       1      0        0         0      2
KAGEYAM4                        1       1      0        0         0      2
StrongSand94191                 1       1      0        0         0      2
Jopp-gh                         1       1      0        0         0      2
kranurag7                       1       1      0        0         0      2
robbyrob42                      1       1      0        0         0      2
frnzhop                         1       1      0        0         0      2
m8-t                            1       1      0        0         0      2
cottage                         1       1      0        0         0      2
Jinshijiming                    1       1      0        0         0      2
Glinte                          1       1      0        0         0      2
zaremb                          1       1      0        0         0      2
Dominiquini                     1       1      0        0         0      2
PerchunPak                      1       1      0        0         0      2
SilentGlasses                   1       1      0        0         0      2
dgzargo                         1       1      0        0         0      2
benjaminapetersen               1       1      0        0         0      2
drallaj                         1       1      0        0         0      2
Anhsirkz                        1       1      0        0         0      2
DanRioDev                       1       1      0        0         0      2
nilsandrey                      1       1      0        0         0      2
demo-err                        1       1      0        0         0      2
Dom-TC                          1       1      0        0         0      2
royborgen                       1       1      0        0         0      2
kovmir                          1       1      0        0         0      2
MadonnaMatta                    1       1      0        0         0      2
bluekeybo                       1       1      0        0         0      2
Cp3b29                          1       1      0        0         0      2
BradKML                         1       1      0        0         0      2
jenosa                          1       1      0        0         0      2
ojsl1                           1       1      0        0         0      2
ilius                           1       1      0        0         0      2
raluvy95                        1       1      0        0         0      2
dhineshbabus138-commit          1       1      0        0         0      2
DeepHiwase                      1       1      0        0         0      2
kl2400030727                    1       1      0        0         0      2
dgilman                         1       1      0        0         0      2
cbeck-wandrian                  1       1      0        0         0      2
spartanhooah                    1       1      0        0         0      2
constansino                     1       1      0        0         0      2
nicvagn                         1       1      0        0         0      2
QuarkPixel                      1       1      0        0         0      2
enrico-benini                   1       1      0        0         0      2
mnovozhylov                     1       1      0        0         0      2
ntgr-pdevakumaran               1       1      0        0         0      2
anilkeshwani                    1       1      0        0         0      2
shirsho-12                      1       1      0        0         0      2
Doume-20                        1       1      0        0         0      2
sharmarahul111                  1       1      0        0         0      2
mrjeffsmith                     1       1      0        0         0      2
N1GHTM4R                        1       1      0        0         0      2
thetapilla                      1       1      0        0         0      2
GM4GLD                          1       1      0        0         0      2
StefanLobbenmeierObjego         1       1      0        0         0      2
amoksito                        1       1      0        0         0      2
jido                            1       1      0        0         0      2
Jodi42-shb                      1       1      0        0         0      2
vuhnger                         1       1      0        0         0      2
civp                            1       1      0        0         0      2
jake-steele                     1       1      0        0         0      2
truecrunchyfrog                 1       1      0        0         0      2
phoebstr                        1       1      0        0         0      2
hughsk                          0       0      1        0         1      2
junosuarez                      0       0      1        0         1      2
ruyadorno                       0       0      1        0         1      2
marekhrabe                      0       0      1        0         1      2
benjaminma                      0       0      1        1         0      2
shadcn                          0       0      1        0         1      2
byjpr                           0       0      1        0         1      2
RoryCrispin                     0       0      1        0         1      2
jegtnes                         0       0      1        0         1      2
fgrehm                          0       0      1        0         1      2
rdpascua                        0       0      1        0         1      2
voithos                         0       0      1        0         1      2
queckezz                        0       0      1        0         1      2
bitdeli-chef                    0       0      1        0         1      2
JonGretar                       0       0      1        0         1      2
antonbabenko                    0       0      1        0         1      2
doyle                           0       0      1        0         1      2
bobthecow                       0       0      1        0         1      2
atweiden                        0       0      1        0         1      2
rnas                            0       0      1        0         1      2
danzimm                         0       0      1        0         1      2
smathy                          0       0      1        0         1      2
Tenzer                          0       0      1        0         1      2
jeroenj                         0       0      1        0         1      2
ljakab                          0       0      1        0         1      2
Pablo-Merino                    0       0      1        0         1      2
martypenner                     0       0      1        0         1      2
oconnor663                      0       0      1        0         1      2
edgebal                         0       0      1        0         1      2
rkm3                            0       0      1        0         1      2
theleoborges                    0       0      1        0         1      2
emanuell                        0       0      1        0         1      2
Skyfold                         0       0      1        1         0      2
goyalankit                      0       0      1        0         1      2
greystate                       0       0      1        0         1      2
axelcdv                         0       0      1        0         1      2
marshally                       0       0      1        0         1      2
duran                           0       0      1        0         1      2
andreassimon                    0       0      1        0         1      2
litblaky                        0       0      1        0         1      2
e0ipso                          0       0      1        0         1      2
iwiznia                         0       0      1        0         1      2
sanusart                        0       0      1        0         1      2
hemanth                         0       0      1        0         1      2
tim-sebring                     0       0      1        0         1      2
bdelacretaz                     0       0      1        0         1      2
kwangbkim                       0       0      1        0         1      2
evestera                        0       0      1        0         1      2
musteresel                      0       0      1        0         1      2
hoox                            0       0      1        0         1      2
gitter-badger                   0       0      1        1         0      2
AgIt0                           0       0      1        0         1      2
donoftime                       0       0      1        0         1      2
clcollins                       0       0      1        1         0      2
matugm                          0       0      1        0         1      2
jorgeborges                     0       0      1        0         1      2
danieldiekmeier                 0       0      1        0         1      2
sszigeti                        0       0      1        1         0      2
kotp                            0       0      1        0         1      2
YellowApple                     0       0      1        0         1      2
therealmarv                     0       0      1        0         1      2
jeremyruppel                    0       0      1        1         0      2
ignazioc                        0       0      1        0         1      2
o0nj                            0       0      1        0         1      2
gutsy                           0       0      1        0         1      2
blx                             0       0      1        0         1      2
kiddkai                         0       0      1        1         0      2
hexchain                        0       0      1        0         1      2
charlestang                     0       0      1        0         1      2
xidui                           0       0      1        0         1      2
ReadmeCritic                    0       0      1        0         1      2
osslate                         0       0      1        0         1      2
markusthoemmes                  0       0      1        0         1      2
WANG-lp                         0       0      1        0         1      2
matthewgao                      0       0      1        0         1      2
miku                            0       0      1        0         1      2
toastedcornflakes               0       0      1        1         0      2
xkrsz                           0       0      1        1         0      2
jeanlucaslima                   0       0      1        0         1      2
xsb                             0       0      1        0         1      2
kirillseva                      0       0      1        0         1      2
mibe                            0       0      1        0         1      2
purpleidea                      0       0      1        0         1      2
matthewwo                       0       0      1        0         1      2
matasar                         0       0      1        0         1      2
jeasinema                       0       0      1        1         0      2
snollygolly                     0       0      1        0         1      2
jkleint                         0       0      1        0         1      2
svenstaro                       0       0      1        0         1      2
okke-formsma                    0       0      1        0         1      2
oalbe                           0       0      1        0         1      2
raamana                         0       0      1        1         0      2
kapouer                         0       0      1        0         1      2
SushiDude                       0       0      1        0         1      2
hayd                            0       0      1        1         0      2
flouthoc                        0       0      1        1         0      2
zzzz401                         0       0      1        1         0      2
jfallon1997                     0       0      1        0         1      2
Marza                           0       0      1        0         1      2
cmische                         0       0      1        0         1      2
Duologic                        0       0      1        0         1      2
davidsiefert                    0       0      1        0         1      2
Kaligule                        0       0      1        1         0      2
salmanulfarzy                   0       0      1        0         1      2
jlems                           0       0      1        0         1      2
davidjpeacock                   0       0      1        1         0      2
phalle5                         0       0      1        0         1      2
MattMcFarland                   0       0      1        0         1      2
sdaitzman                       0       0      1        0         1      2
webb04                          0       0      1        0         1      2
radarhere                       0       0      1        0         1      2
ElectricSquid                   0       0      1        0         1      2
harryterkelsen                  0       0      1        0         1      2
timsutton                       0       0      1        0         1      2
Torild                          0       0      1        0         1      2
luthfianto                      0       0      1        0         1      2
skaji                           0       0      1        0         1      2
mikefowler                      0       0      1        1         0      2
kumon                           0       0      1        0         1      2
0xLevin                         0       0      1        1         0      2
aarinsmith                      0       0      1        0         1      2
imrehg                          0       0      1        0         1      2
kylekampy                       0       0      1        0         1      2
ivantm                          0       0      1        0         1      2
cole-brokamp                    0       0      1        1         0      2
lanzhiwang                      0       0      1        1         0      2
forsigner                       0       0      1        1         0      2
steventhanna                    0       0      1        0         1      2
jamapag                         0       0      1        0         1      2
naps62                          0       0      1        0         1      2
nando                           0       0      1        1         0      2
ralsei                          0       0      1        0         1      2
mz026                           0       0      1        0         1      2
jamescarlos                     0       0      1        0         1      2
jamswat                         0       0      1        0         1      2
TerkaSlan                       0       0      1        1         0      2
andrewhavens                    0       0      1        1         0      2
kenetik                         0       0      1        0         1      2
ArturSkowronski                 0       0      1        0         1      2
freesuraj                       0       0      1        0         1      2
mshmoustafa                     0       0      1        0         1      2
cincodenada                     0       0      1        1         0      2
dyng                            0       0      1        0         1      2
lukeyeager                      0       0      1        0         1      2
abshammeri                      0       0      1        1         0      2
sylvainbannier                  0       0      1        0         1      2
CBrowne                         0       0      1        0         1      2
keune                           0       0      1        0         1      2
vincentbel                      0       0      1        0         1      2
imjacobclark                    0       0      1        0         1      2
eidge                           0       0      1        0         1      2
nelsonchung                     0       0      1        0         1      2
solarsailer                     0       0      1        0         1      2
loliee                          0       0      1        0         1      2
TiredSounds                     0       0      1        0         1      2
kocsenc                         0       0      1        0         1      2
ldong                           0       0      1        0         1      2
ihaolin                         0       0      1        0         1      2
dawidd6                         0       0      1        0         1      2
nonsequitur                     0       0      1        0         1      2
minhajuddin                     0       0      1        0         1      2
jkbrzt                          0       0      1        0         1      2
gillescastel                    0       0      1        0         1      2
kartikanand                     0       0      1        1         0      2
mamigot                         0       0      1        0         1      2
ianjmacintosh                   0       0      1        0         1      2
kazmasaurus                     0       0      1        0         1      2
smevawala                       0       0      1        0         1      2
responsible                     0       0      1        0         1      2
helge000                        0       0      1        1         0      2
dijonkitchen                    0       0      1        0         1      2
joashc                          0       0      1        0         1      2
VEBERArnaud                     0       0      1        1         0      2
livioso                         0       0      1        0         1      2
FlyingJester                    0       0      1        1         0      2
esthermations                   0       0      1        0         1      2
jcalebj                         0       0      1        0         1      2
baron42bba                      0       0      1        0         1      2
beshrns                         0       0      1        0         1      2
zhangda7                        0       0      1        0         1      2
cs1707                          0       0      1        0         1      2
Granitosaurus                   0       0      1        0         1      2
gka                             0       0      1        1         0      2
ipudu                           0       0      1        1         0      2
gustavomdsantos                 0       0      1        0         1      2
Nekel-Seyew                     0       0      1        0         1      2
alexpls                         0       0      1        0         1      2
zhoufeng1989                    0       0      1        0         1      2
zkendall                        0       0      1        0         1      2
ylluminarious                   0       0      1        0         1      2
pellejacobs                     0       0      1        0         1      2
plessbd                         0       0      1        1         0      2
michaelAndersonCampingWorld       0       0      1        0         1      2
rahulkavale                     0       0      1        0         1      2
xxdavid                         0       0      1        0         1      2
pdey                            0       0      1        0         1      2
maximpertsov                    0       0      1        0         1      2
mkoppmann                       0       0      1        0         1      2
dac09                           0       0      1        0         1      2
jonboiser                       0       0      1        0         1      2
vkolmakov                       0       0      1        0         1      2
TotKindGott                     0       0      1        0         1      2
frinkelpi                       0       0      1        0         1      2
Fykec                           0       0      1        1         0      2
andreabolandrina                0       0      1        0         1      2
jobinlawrance                   0       0      1        1         0      2
kuba-orlik                      0       0      1        1         0      2
debugger24                      0       0      1        0         1      2
touhonoob                       0       0      1        0         1      2
micahculpepper                  0       0      1        1         0      2
mufasa71                        0       0      1        1         0      2
huangyongda                     0       0      1        1         0      2
becomesaflame                   0       0      1        0         1      2
johackim                        0       0      1        0         1      2
sweeper3000                     0       0      1        0         1      2
hginzel                         0       0      1        1         0      2
victorjacobs                    0       0      1        0         1      2
varun-ml                        0       0      1        1         0      2
LeDavid                         0       0      1        0         1      2
lukasschlueter                  0       0      1        0         1      2
jkubrynski                      0       0      1        0         1      2
andromedarabbit                 0       0      1        0         1      2
l0rdcafe                        0       0      1        0         1      2
mkaito                          0       0      1        0         1      2
sbibauw                         0       0      1        1         0      2
sebw                            0       0      1        0         1      2
keithdadkins                    0       0      1        1         0      2
kenyonj                         0       0      1        0         1      2
jereze                          0       0      1        1         0      2
thornjad                        0       0      1        0         1      2
Vanessa219                      0       0      1        0         1      2
mterwill                        0       0      1        0         1      2
angorf                          0       0      1        0         1      2
motiko                          0       0      1        0         1      2
haishanh                        0       0      1        1         0      2
mreinhardt                      0       0      1        1         0      2
ultrox                          0       0      1        1         0      2
Lutzifer                        0       0      1        0         1      2
ncovercash                      0       0      1        0         1      2
dhaynespls                      0       0      1        0         1      2
augustgerro                     0       0      1        0         1      2
delaanthonio                    0       0      1        1         0      2
breenger                        0       0      1        0         1      2
kmyounes                        0       0      1        0         1      2
kun-zhou                        0       0      1        1         0      2
haydenbetts                     0       0      1        0         1      2
BrainMaestro                    0       0      1        0         1      2
HairyFotr                       0       0      1        0         1      2
7373Lacym                       0       0      1        0         1      2
russellg                        0       0      1        1         0      2
albacoretuna                    0       0      1        0         1      2
ranyitz                         0       0      1        0         1      2
kevinushey                      0       0      1        0         1      2
fidelisrafael                   0       0      1        0         1      2
krzysztofsroga                  0       0      1        0         1      2
guojikai                        0       0      1        1         0      2
sirianni                        0       0      1        0         1      2
meodai                          0       0      1        0         1      2
jk                              0       0      1        1         0      2
Paveltarno                      0       0      1        0         1      2
katekyan                        0       0      1        0         1      2
icheyne                         0       0      1        1         0      2
brandonsoto                     0       0      1        0         1      2
personalnadir                   0       0      1        0         1      2
djung460                        0       0      1        0         1      2
lindenb                         0       0      1        1         0      2
alpreu                          0       0      1        0         1      2
pit1s                           0       0      1        0         1      2
harrymt                         0       0      1        0         1      2
devonhk                         0       0      1        0         1      2
KingMob                         0       0      1        0         1      2
CorePoint                       0       0      1        1         0      2
IanOxborrow                     0       0      1        0         1      2
m4grio                          0       0      1        0         1      2
flxn                            0       0      1        0         1      2
nikeee                          0       0      1        0         1      2
riouwa                          0       0      1        0         1      2
iamam34                         0       0      1        1         0      2
PurpleBooth                     0       0      1        0         1      2
deiga                           0       0      1        0         1      2
haloboy777                      0       0      1        0         1      2
phillip055                      0       0      1        0         1      2
OlgaMaciaszek                   0       0      1        1         0      2
DavidLambauer                   0       0      1        1         0      2
ckovsky                         0       0      1        0         1      2
mjohanning99                    0       0      1        0         1      2
mandrade2                       0       0      1        0         1      2
nzachow                         0       0      1        0         1      2
vmchale                         0       0      1        1         0      2
eddiejaoude                     0       0      1        0         1      2
natesilva                       0       0      1        0         1      2
SubOptimal                      0       0      1        0         1      2
plytro                          0       0      1        0         1      2
jimfilippou                     0       0      1        0         1      2
andreadellacorte                0       0      1        0         1      2
orschiro                        0       0      1        0         1      2
beesandbombs                    0       0      1        0         1      2
alexlafroscia                   0       0      1        0         1      2
jwilkins                        0       0      1        1         0      2
sommd                           0       0      1        0         1      2
merriam                         0       0      1        0         1      2
sasha42                         0       0      1        0         1      2
angsuman                        0       0      1        0         1      2
gfeun                           0       0      1        0         1      2
catvec                          0       0      1        1         0      2
aames                           0       0      1        0         1      2
pathawks                        0       0      1        1         0      2
shihyuho                        0       0      1        0         1      2
rrikesh                         0       0      1        0         1      2
FlawBee                         0       0      1        0         1      2
basiclines                      0       0      1        0         1      2
tinywombat765                   0       0      1        0         1      2
a-raccoon                       0       0      1        0         1      2
moalamin                        0       0      1        0         1      2
leighmcculloch                  0       0      1        0         1      2
MatanRubin                      0       0      1        0         1      2
fpnick                          0       0      1        0         1      2
WrathZA                         0       0      1        0         1      2
jimvanderveen                   0       0      1        0         1      2
awaitlink                       0       0      1        0         1      2
ry                              0       0      1        0         1      2
jdvr                            0       0      1        0         1      2
Vykook                          0       0      1        0         1      2
alxers                          0       0      1        0         1      2
taygius                         0       0      1        1         0      2
mirshko                         0       0      1        0         1      2
mluisbrown                      0       0      1        0         1      2
jmfayard                        0       0      1        0         1      2
thirdbody                       0       0      1        0         1      2
mingchen                        0       0      1        0         1      2
venoel                          0       0      1        1         0      2
kirill-dev-pro                  0       0      1        1         0      2
tit                             0       0      1        1         0      2
der-On                          0       0      1        0         1      2
redant333                       0       0      1        0         1      2
aniket-deole                    0       0      1        0         1      2
g-marius                        0       0      1        0         1      2
Turbo87                         0       0      1        0         1      2
spinningarrow                   0       0      1        0         1      2
SheaClose                       0       0      1        0         1      2
jordi-pascual                   0       0      1        0         1      2
ravern                          0       0      1        0         1      2
flexdinesh                      0       0      1        0         1      2
AmirAliSobhGol                  0       0      1        0         1      2
Crease29                        0       0      1        0         1      2
buslov                          0       0      1        0         1      2
zkcode                          0       0      1        1         0      2
baixiaoji                       0       0      1        0         1      2
deoxys314                       0       0      1        0         1      2
aliva                           0       0      1        0         1      2
AberDerBart                     0       0      1        0         1      2
MrLeebo                         0       0      1        0         1      2
olso                            0       0      1        0         1      2
amsross                         0       0      1        0         1      2
tpv-ebben                       0       0      1        1         0      2
dikiaap                         0       0      1        0         1      2
shahrilnet                      0       0      1        0         1      2
alexandresardinha               0       0      1        1         0      2
jukefr                          0       0      1        0         1      2
frits-v                         0       0      1        0         1      2
hay                             0       0      1        0         1      2
chub16                          0       0      1        0         1      2
codydiehl                       0       0      1        1         0      2
doschupp                        0       0      1        1         0      2
PlrEx                           0       0      1        0         1      2
321hendrik                      0       0      1        0         1      2
cvn                             0       0      1        0         1      2
OranShuster                     0       0      1        1         0      2
sakalys                         0       0      1        0         1      2
lilianmoraru                    0       0      1        1         0      2
eignnx                          0       0      1        0         1      2
lenormf                         0       0      1        0         1      2
avalanchy                       0       0      1        0         1      2
DonoA                           0       0      1        0         1      2
nbeernink                       0       0      1        0         1      2
kishaningithub                  0       0      1        0         1      2
impos73r                        0       0      1        0         1      2
martin-juul                     0       0      1        0         1      2
henrebotha                      0       0      1        0         1      2
ryangreenberg                   0       0      1        0         1      2
songford                        0       0      1        0         1      2
dflamand                        0       0      1        0         1      2
Lorwp                           0       0      1        0         1      2
codetheweb                      0       0      1        0         1      2
5shekel                         0       0      1        0         1      2
jukben                          0       0      1        0         1      2
StrictAvacado                   0       0      1        1         0      2
fetlang                         0       0      1        0         1      2
phil-harmoniq                   0       0      1        0         1      2
maged                           0       0      1        0         1      2
SpartakusMd                     0       0      1        0         1      2
hdra                            0       0      1        1         0      2
andrazznidar                    0       0      1        0         1      2
RonyOCuinn                      0       0      1        0         1      2
hemisu                          0       0      1        0         1      2
janw                            0       0      1        0         1      2
Dannyzen                        0       0      1        0         1      2
nicolasdanelon                  0       0      1        1         0      2
jayypluss                       0       0      1        0         1      2
gpenghe                         0       0      1        0         1      2
simoniz0r                       0       0      1        1         0      2
romanrodriguez                  0       0      1        0         1      2
HaleTom                         0       0      1        1         0      2
eurgghh                         0       0      1        0         1      2
danieldc                        0       0      1        0         1      2
amadeous                        0       0      1        0         1      2
thiagotalma                     0       0      1        0         1      2
AprilElizabeth                  0       0      1        0         1      2
tunght13488                     0       0      1        0         1      2
christopherkuemmel              0       0      1        0         1      2
tdhopper                        0       0      1        0         1      2
sschlesier                      0       0      1        0         1      2
ShaunKarran                     0       0      1        0         1      2
Xifax                           0       0      1        0         1      2
jamesob                         0       0      1        0         1      2
rodorgas                        0       0      1        0         1      2
ferk6a                          0       0      1        0         1      2
RafRaf                          0       0      1        0         1      2
muendelezaji                    0       0      1        0         1      2
mirekfranc                      0       0      1        0         1      2
mattsches                       0       0      1        1         0      2
eranharel                       0       0      1        0         1      2
stites                          0       0      1        0         1      2
YtvwlD                          0       0      1        0         1      2
breckuh                         0       0      1        0         1      2
Hacky-The-Sheep                 0       0      1        0         1      2
jottr                           0       0      1        1         0      2
ticky                           0       0      1        0         1      2
mislavcimpersak                 0       0      1        0         1      2
edsoncelio                      0       0      1        0         1      2
pegaslee                        0       0      1        0         1      2
stellarhopper                   0       0      1        0         1      2
supermamie                      0       0      1        0         1      2
nikoheikkila                    0       0      1        0         1      2
zugzug90                        0       0      1        0         1      2
saifazmi                        0       0      1        0         1      2
Surkal                          0       0      1        0         1      2
nickjer                         0       0      1        0         1      2
arielallon                      0       0      1        0         1      2
folfy                           0       0      1        0         1      2
MasterTos                       0       0      1        0         1      2
d0gey                           0       0      1        0         1      2
khord                           0       0      1        0         1      2
BenNF                           0       0      1        0         1      2
mcbloch                         0       0      1        0         1      2
mikerogne                       0       0      1        0         1      2
wbh1                            0       0      1        0         1      2
m-p-3                           0       0      1        0         1      2
huntie                          0       0      1        0         1      2
baofengs                        0       0      1        1         0      2
kkredit                         0       0      1        0         1      2
YYYasin19                       0       0      1        0         1      2
ab-pivot                        0       0      1        0         1      2
lbonn                           0       0      1        0         1      2
MelwinKfr                       0       0      1        0         1      2
pawamoy                         0       0      1        0         1      2
rkiyanchuk                      0       0      1        0         1      2
atlas-comstock                  0       0      1        0         1      2
Linguista                       0       0      1        0         1      2
cslee                           0       0      1        0         1      2
spicywiener666                  0       0      1        0         1      2
Jegp                            0       0      1        0         1      2
pesout                          0       0      1        0         1      2
wflynny                         0       0      1        0         1      2
yannishuber                     0       0      1        0         1      2
slamp                           0       0      1        0         1      2
feber                           0       0      1        0         1      2
ElderMael                       0       0      1        1         0      2
The-Hoster                      0       0      1        0         1      2
dcaspi                          0       0      1        0         1      2
markevan100                     0       0      1        0         1      2
eprovst                         0       0      1        0         1      2
sparkchaser                     0       0      1        0         1      2
isacikgoz                       0       0      1        0         1      2
malexer                         0       0      1        0         1      2
sitaramp                        0       0      1        0         1      2
blunket                         0       0      1        0         1      2
yuriybash                       0       0      1        0         1      2
rl-king                         0       0      1        0         1      2
PhilippThaler                   0       0      1        1         0      2
sharkdp                         0       0      1        0         1      2
miiizen                         0       0      1        0         1      2
alkhasov                        0       0      1        0         1      2
msLinuxNinja                    0       0      1        0         1      2
kflu                            0       0      1        0         1      2
Chostakovitch                   0       0      1        0         1      2
Fallstar                        0       0      1        0         1      2
rene-atzenhofer                 0       0      1        0         1      2
askin                           0       0      1        0         1      2
coreysharris                    0       0      1        0         1      2
fnl                             0       0      1        0         1      2
lucianoq                        0       0      1        1         0      2
yshhuang                        0       0      1        0         1      2
DerPhysikeR                     0       0      1        0         1      2
jesse-c                         0       0      1        0         1      2
KyleW                           0       0      1        0         1      2
AdamDemirel                     0       0      1        0         1      2
EpocSquadron                    0       0      1        0         1      2
Treborium                       0       0      1        0         1      2
yaboroda                        0       0      1        0         1      2
frioux                          0       0      1        1         0      2
ryantuck                        0       0      1        0         1      2
ericpardee                      0       0      1        0         1      2
theutz                          0       0      1        0         1      2
codesoap                        0       0      1        0         1      2
smt923                          0       0      1        0         1      2
telnetning                      0       0      1        1         0      2
benwattsjones                   0       0      1        0         1      2
lisanhu                         0       0      1        0         1      2
evrardjp                        0       0      1        0         1      2
Lynnesbian                      0       0      1        0         1      2
bmuskalla                       0       0      1        0         1      2
paulvandenburg                  0       0      1        0         1      2
paulgalow                       0       0      1        0         1      2
uesteibar                       0       0      1        0         1      2
rnevius                         0       0      1        0         1      2
spachava753                     0       0      1        0         1      2
fkraeutli                       0       0      1        0         1      2
