Repo   : tldr-pages/tldr
Período: histórico completo
Commits descargados: 23361

=== POR PRODUCTO ===
ANMCC (Avg Modified Components per Commit): 5.14

=== POR PERSONA ===
Colaborador                    ANMCC
----------------------------------------
angadsgrover                   2.5
andres3m                       2.5
mrusme                         2.5
RemoteRabbit                   2.5
querlemtle                     2.5
naltun                         2.5
Float07                        2.5
friederbluemle                 2.5
GETandSELECT                   2.5
subzey                         2.5
Saul-BT                        2.5
Eduardo Lemos Júnior           2.5
Crease29                       2.5
pindexis                       2.5
Sarijen                        2.44
Oğuz Ersen                     2.44
cyqsimon                       2.42
Vukory                         2.42
badhon495                      2.4
iTrooz                         2.4
marek22k                       2.4
fejx                           2.39
Kumamoto-Hamachi               2.38
garakangas                     2.33
kieranknowles1                 2.33
spicyyboi                      2.33
lenaArtinger                   2.33
unickorn                       2.33
pranavraja                     2.33
Geipro                         2.32
dz-at-tc                       2.31
levirs565                      2.31
tranzystorekk                  2.29
punkestu                       2.29
Emmet-Ray                      2.25
jvns                           2.25
aniketpuro                     2.25
arunisaac                      2.25
Cvetomird91                    2.25
rprieto                        2.24
Nico385412                     2.23
mtausig                        2.2
shu-pf                         2.2
noraj                          2.18
Sadeeed                        2.17
mul14                          2.17
rozie                          2.14
dmytrovoytko                   2.12
spageektti                     2.09
burlakvo                       2.09
MrMw3                          2.08
quique                         2.06
emmanuel-ferdman               2.04
Sencyy                         2.0
KernelFreeze                   2.0
yippiez                        2.0
tximista64                     2.0
LD-RW                          2.0
ARKye03                        2.0
calvincheng                    2.0
Victorzinn704                  2.0
CosmicHorrorDev                2.0
merlinio2000                   2.0
taiseiue                       2.0
romacub                        2.0
mamasch19                      2.0
packrat386                     2.0
abhishek-kaith                 2.0
lightsky9627                   2.0
methran1304                    2.0
dvershinin                     2.0
Hermann-web                    2.0
ByteKatana                     2.0
Juamez                         2.0
shellydavid                    2.0
arvindselvajas0222-coder       2.0
JackyLee3362                   2.0
radheshpai87                   2.0
shanegeorge7                   2.0
xiedada05                      2.0
Golenspade                     2.0
Hahihula                       2.0
kekwlboy12469                  2.0
pradokez                       2.0
Aerex                          2.0
andy1li                        2.0
BoolPurist                     2.0
Chr1s70ph                      2.0
callumr00                      2.0
rozari0                        2.0
anand-gautam                   2.0
ramadasmr                      2.0
munhozzlucas                   2.0
jeffersonvventura              2.0
Harrisonust                    2.0
jrazi                          2.0
MubarakSec                     2.0
DDjivan                        2.0
rajayonin                      2.0
onnimonni                      2.0
ZacharyTalis                   2.0
mrbelor                        2.0
xuiqzy                         2.0
devnoname120                   2.0
akira25                        2.0
baggiiiie                      2.0
kevinalh                       2.0
oswz                           2.0
RuinTD                         2.0
cyberdarts                     2.0
you-gao                        2.0
mariushoch                     2.0
tulilirockz                    2.0
partrita                       2.0
SukiCZ                         2.0
pete3n                         2.0
HorizonChaser                  2.0
wtflm                          2.0
Ma-hawaj                       2.0
antznin                        2.0
kenshaw                        2.0
eshedruf                       2.0
TheFibonacciEffect             2.0
rilysh                         2.0
Mr-Andersen                    2.0
xiaoxiangxianzi                2.0
davidbtadokoro                 2.0
movoid12                       2.0
jaythomas                      2.0
pan2013e                       2.0
adiesner                       2.0
danielsagie                    2.0
The Galaxy                     2.0
nkzren                         2.0
subaseyy                       2.0
fallenpixel                    2.0
AbhiAk45                       2.0
Narfinger                      2.0
itsmicaio                      2.0
MCK-D                          2.0
adamazing                      2.0
ilkermeliksitki                2.0
vitormarcal                    2.0
mSamiolo                       2.0
cipherdragon                   2.0
bataliero                      2.0
FMakosza                       2.0
jparrill                       2.0
Ratheshan03                    2.0
stlpine                        2.0
tarczynskitomek                2.0
ap-ch                          2.0
aquelemiguel                   2.0
BSGalvan                       2.0
KKWANH                         2.0
nwnt                           2.0
franzqat                       2.0
Juane99                        2.0
piromsurang                    2.0
akashtjohn                     2.0
punparin                       2.0
amincheloh                     2.0
k0mmsussert0d                  2.0
GallowsDove                    2.0
JCarlosR                       2.0
0xKaso                         2.0
graves501                      2.0
jamedranoa                     2.0
ebartels                       2.0
AngelODeath                    2.0
assawalhy                      2.0
baiyutang                      2.0
zein3                          2.0
Mastercuber                    2.0
stryaponoff                    2.0
TripleTrable                   2.0
zdy023                         2.0
tcarrondo                      2.0
Rogacz                         2.0
ivomastre                      2.0
JodisKripe                     2.0
Gil Moskowitz                  2.0
flyxyz123                      2.0
DhruvaKashyap                  2.0
entensee403                    2.0
iacs-csu-2020                  2.0
ThomasChr                      2.0
seasonedfish                   2.0
anderly011                     2.0
1deadpixl                      2.0
aduzsardi                      2.0
iuliandita                     2.0
victorhck                      2.0
blalyasar                      2.0
spa5k                          2.0
artemislena                    2.0
interrato                      2.0
TGIFelix                       2.0
angauber                       2.0
nagromLobo                     2.0
metov                          2.0
IacobusKopiirefuto             2.0
gabanz                         2.0
agucova                        2.0
menykuro                       2.0
cbohn4                         2.0
unknown1924                    2.0
NashMiao                       2.0
jvktr                          2.0
JoaoGFarias                    2.0
danielbayley                   2.0
yurai007                       2.0
Cristobal Forno                2.0
lzap                           2.0
pavelshtanko                   2.0
garily                         2.0
jspickard                      2.0
neizod                         2.0
kflu                           2.0
SpartakusMd                    2.0
macleginn                      2.0
songford                       2.0
gingerbeardman                 2.0
iamam34                        2.0
kevinushey                     2.0
Vanessa219                     2.0
lukasschlueter                 2.0
mkoppmann                      2.0
danielcompton                  2.0
responsible                    2.0
mz026                          2.0
cdminigun                      2.0
WANG-lp                        2.0
pborenstein                    2.0
LiLittleCat                    1.96
elfiyka                        1.9
zirnc                          1.88
DustMerlin                     1.86
caduvieira                     1.84
rubenandre                     1.83
Very-cool-guy                  1.8
deadpyxel                      1.8
werewolf-65                    1.8
JoeStone13                     1.8
sohang3112                     1.78
JenFalco                       1.77
guidosti                       1.75
BabaYaga1221                   1.75
Gatien                         1.75
eutro                          1.75
Tiny                           1.75
Peter Tripp                    1.75
opoet7                         1.72
dmbaturin                      1.71
fwilhe2                        1.67
unixkiwi                       1.67
pranav10780                    1.67
AttackThwarter                 1.67
swastim01                      1.67
Akasan                         1.67
AbhisekLimbu                   1.67
lengyijun                      1.67
YangWithU                      1.67
fadharpra                      1.67
qk7b                           1.67
mmahmoudian                    1.67
bperdigao-gb                   1.67
OnkarRuikar                    1.67
Jaimepas77                     1.67
govind-shenoy                  1.67
Felipe-noob                    1.67
npalladium                     1.67
marlowew                       1.67
kmoe                           1.67
MachiavelliII                  1.65
jnmcfly                        1.62
andrik                         1.62
Miyuutsu                       1.6
swoh816                        1.6
principis                      1.6
panilya                        1.6
rwxd                           1.6
gabxyz                         1.59
zvonimirr                      1.58
navarroaxel                    1.54
corneliusroemer                1.54
sbrl                           1.54
ivorysoap                      1.54
85pando                        1.52
felixonmars                    1.51
ammar1510                      1.5
AhmadNajiKam                   1.5
Turmaxx                        1.5
ysoftman                       1.5
Raizo62                        1.5
waldyrious                     1.5
locnide                        1.5
DEM-YU                         1.5
sri-sethu                      1.5
SamyOffer                      1.5
FlowareR-E                     1.5
LuisMunizEnc                   1.5
fortii2                        1.5
poychang                       1.5
andyli                         1.5
Holek                          1.5
imleowoo                       1.5
Xuki                           1.5
sharunkumar                    1.5
ShamimShahraeini               1.5
marc-48k                       1.5
wangme88                       1.5
Gurenax                        1.5
luisnquin                      1.5
Maksim Verkhoturov             1.5
alfawal                        1.5
lskatz                         1.5
Molntussen                     1.5
frost                          1.5
amarps                         1.5
GhostViz                       1.5
ansavanix                      1.5
btota2                         1.5
IranNeto                       1.5
newtant                        1.5
Scuilion                       1.5
Ry0taK                         1.5
noarchwastaken                 1.5
tomek-szczesny                 1.5
DarylPinto                     1.5
mattrighetti                   1.5
Amorymeltzer                   1.5
andrealmeid                    1.5
JamieMagee                     1.5
staceybellerose                1.5
354651432                      1.5
giorgiovilardo                 1.5
DanielKim1                     1.5
enesdogan00                    1.5
Andy Chen                      1.5
matusf                         1.5
tzhenghao                      1.5
mashehu                        1.5
alpreu                         1.5
vivekkrish                     1.5
Parth                          1.5
vpilot                         1.5
denis-sokolov                  1.5
charlestang                    1.5
kotp                           1.5
egilkh                         1.5
martypenner                    1.5
kud                            1.5
witt-bit                       1.48
dependabot[bot]                1.47
dadav                          1.45
pranjalirathi                  1.43
agnivade                       1.43
igorshubovych                  1.43
andreia                        1.41
Kefaku                         1.4
TheBulaDev                     1.4
EvaMatz                        1.4
FazleArefin                    1.38
sanbabyfrancis                 1.38
nolasconapoleao                1.38
FvFurquim                      1.36
TheMimikyu                     1.34
zlatanvasovic                  1.34
sarahgh8                       1.33
redelfive0                     1.33
OToussaint                     1.33
mister-ben                     1.33
kira134679                     1.33
TcPirate1                      1.33
shantanu-pai                   1.33
SamueleFacenda                 1.33
Shinsei                        1.33
sudoAlphaX                     1.33
KrishDave1                     1.33
lsf1re                         1.33
ckorobov                       1.33
varadrane7                     1.33
cwestwater                     1.33
GustavoHiguera                 1.33
Paskalouis                     1.33
Fabiokleis                     1.33
sourcefrog                     1.33
Paradact                       1.33
marcan2020                     1.33
abeltay                        1.33
glapa-grossklag                1.33
stevenpitts                    1.33
