Archivos a analizar: 35766

=== POR PRODUCTO ===
CD (Comment Density): 0.0005  (ref. NASA optimo ~0.15)
  Total CLOC : 183
  Total LLOC : 337412
  Archivos   : 35766

=== POR PERSONA ===
Colaborador                           CLOC     LLOC       CD
Isaac Vicente                            0       61      0.0
Renie Siqueira                           0      189      0.0
caduvieira                               0       60      0.0
kp                                       0       11      0.0
Victor Luna                              0       15      0.0
Sencyy                                   0      116      0.0
Henrique                                 0       17      0.0
Gabriel Rodrigues                        0       40      0.0
Felipe Furquim                           0       24      0.0
Mariana Corrêa                           0       39      0.0
Lucas Soares                             0        7      0.0
Daniel Mantovani                         0       19      0.0
John Toohey                              0       28      0.0
Pedro Mariano                            0       39      0.0
Cleyton Macedo                           0       19      0.0
T16K                                     0        9      0.0
Jorge Natalino Zenun                     0       18      0.0
Rafael Julio                             0       31      0.0
git-em                                   0       22      0.0
Vítor Henrique                           0      417      0.0
Paulina Kalicka                          0      152      0.0
mrskizzex                                0       14      0.0
rozie                                    0       85      0.0
Victoria Kruczek                         0       13      0.0
Wiktor Perskawiec                        0       76      0.0
DawidStruzik                             0       24      0.0
Patryk Krawaczyński                      0       19      0.0
Fossen93                                 0        5      0.0
Taisei Uemura                            0       16      0.0
hidetzu                                  0       12      0.0
Nikiforos Kliafas                        0       51      0.0
raf                                      0       34      0.0
Kyle                                     0       32      0.0
Andrei Murariu                           0      458      0.0
lucas schneider                          0       49      0.0
Guido Lena Cota                          0       49      0.0
Francesco Franchina                      0      202      0.0
Matteo Piffari                           0       53      0.0
Andrew McIntosh                          0       11      0.0
Salvatore Maria Italiano                 0       35      0.0
Lucas Gabriel Schneider                  0       68      0.0
Samuele Facenda                          0       80      0.0
Aiphru                                   0       11      0.0
Triad                                    0       28      0.0
Leandro Villari                          0       19      0.0
Seifer23                                 0       36      0.0
Mohamed Taher Mosbah                     0       18      0.0
Nguyễn Huỳnh Anh Khoa                    0       18      0.0
Ryan                                     0       35      0.0
Emily Grace Seville                      0      548      0.0
Jacob                                    0       17      0.0
Steve Milano                             0       13      0.0
meowmeowcat                              0       13      0.0
Jordan Lambrecht                         0       10      0.0
Saikat Sengupta                          0       30      0.0
Dan Wood                                 0       13      0.0
Ein Verne                                0       15      0.0
DNEGEL3125                               0       14      0.0
Timo Taskinen                            0       11      0.0
Morgan Howard                            0       12      0.0
Cornelius Roemer                         0       67      0.0
grafst                                   0       16      0.0
Om Singh Bais                            0      140      0.0
Anirudh Gupta                            0       12      0.0
Daniel Guerrero                          0       89      0.0
SaiTeja-002                              0       12      0.0
Gabbar                                   0       16      0.0
Adam Herst                               0       66      0.0
chris                                    0       36      0.0
Eric Cheng                               0       20      0.0
Alexandros Paliakoudis                   0       36      0.0
Bartłomiej Tota                          0       20      0.0
Adam Monsen                              0        9      0.0
Rudransh Shrivastava                     0       19      0.0
Gabriel de Souza                         0       93      0.0
Javad Razi                               0        4      0.0
4ae4d                                    0       36      0.0
Sri Sethu Madhavan S                     0       37      0.0
