Archivos de documentación encontrados: 35741
Construyendo mapa de autores con git log...
Mapa de autores construido: 42240 archivos

=== POR PRODUCTO ===
DLOC (Documentation Lines of Code): 334585 lineas
  Archivos analizados: 35741

=== POR PERSONA ===
Colaborador                                  DLOC
Titouan-joseph Cicorella                       17
Gustek                                         17
Henrique                                       17
Jacob                                          17
elfehr                                         17
a1346054                                       17
Roberto Luna-Rojas                             17
Brian Choromanski                              17
Kefaku                                         17
Tom Nicklin                                    17
Ali Malek                                      17
Chaitanya Mishra                               17
Modi Meet                                      17
Hans Behrens                                   17
Radhesh Pai                                    17
Tim McMackin                                   17
Gabriel Francischini C. Pereira                17
Ivan Grubišić                                  17
krotka                                         17
Ishaan Bhimwal                                 17
th0ughtcrime                                   17
x69van                                         17
Giovanni Paolo                                 17
Tanay Deshmukh                                 17
Red Earth                                      16
tshofmann                                      16
Kaan AYDIN                                     16
Taisei Uemura                                  16
grafst                                         16
Gabbar                                         16
Myroslav Repin                                 16
Yifan Ruan                                     16
Aditya Gaurav                                  16
Jonas Weich                                    16
Supakorn Ieamgomol                             16
licon                                          16
Shubham Kshetre                                16
sharaf2215                                     16
MohammedTharikS                                16
rafikhouzam                                    16
Emily Freeman                                  16
Başar Subaşı                                   16
NeuralNine                                     16
Prithviraj03                                   16
Abhiram Mangipudi                              16
rishisrivastava0812                            15
Aakanksha Arun Desai                           15
Jonas                                          15
melvinxeu                                      15
Joe Nichols                                    15
Victor Luna                                    15
Ein Verne                                      15
tango8                                         15
Robin Gower                                    15
Emily                                          15
dorocha                                        15
Hugo Locurcio                                  15
Anay Nayak                                     15
oleksii-kulyk                                  15
Abhisek Phago limbu                            15
Coko                                           15
mbsmith                                        15
NEXNC                                          15
Ulysse Buonomo                                 15
23f3001101                                     15
Máté Gyöngyösi                                 15
William Chua                                   15
Simon St-Pierre                                15
Aswin girish                                   15
Paul Somers                                    15
Christoph Thiede                               15
Mosapeizer                                     15
Isidro                                         15
koolape                                        15
Suresh Jagtap                                  15
MIfoodie                                       15
Angad Singh Grover                             15
Tsvetomir Bonev                                15
noarchwastaken                                 15
Abhiyan Dhakal                                 15
DrMaxNix                                       15
Tom Webber                                     15
Colin Westwater                                15
akhilennu                                      15
omahs                                          14
Lucas Munhoz                                   14
mrskizzex                                      14
DNEGEL3125                                     14
Janek                                          14
Yassine Zouggari                               14
Alan                                           14
arpit-source                                   14
Jacobus Burger                                 14
Th0ught09                                      14
ohyahgit                                       14
Birb                                           14
skyjx                                          13
Lars Niesen                                    13
Sayna                                          13
すろか                                            13
Jeongwook Park                                 13
JJByun                                         13
Aerex                                          13
Jaime                                          13
Syafa Adena                                    13
mortalpuppet                                   13
Victoria Kruczek                               13
Steve Milano                                   13
meowmeowcat                                    13
Dan Wood                                       13
FantasyCookie17                                13
sumit-8305                                     13
Gavin Douch                                    13
dwdh                                           13
Vansh Pandey                                   13
Michael Cale                                   13
Nethum Lamahewage                              13
Laaarge                                        13
Shou-Chi Chen                                  13
CalC                                           13
whitemuu                                       13
Adel Hasic                                     13
the0xdev                                       13
Girdhar Agrawal                                13
Uriel Acosta                                   13
Ofer Sadan                                     13
Kunal Singh                                    13
ARK                                            13
satteomama                                     13
Bruno Schaatsbergen                            13
Danche Choi                                    13
rexept                                         13
u0_a390                                        13
rajat mohan                                    13
Aadish M                                       13
renner0e                                       13
Brett Krueger                                  13
kazoni                                         13
hidetzu                                        12
Morgan Howard                                  12
Anirudh Gupta                                  12
SaiTeja-002                                    12
Suraj Devatha                                  12
Nguyễn Đức Chiến                               12
Adam Bisinella                                 12
P2Tree                                         12
tellmeY18                                      12
Dyo-nisos                                      12
You Gao                                        12
Alistair Young                                 12
Alpha                                          12
Coontzy1                                       12
kongwak                                        12
Anton Friberg                                  12
kabir1439                                      12
Braintelligence                                11
NeoCode                                        11
Taeyoon Kim                                    11
Andros Fenollosa                               11
Zarif León                                     11
LSigala                                        11
Amir H. Moayeri                                11
kp                                             11
Andrew McIntosh                                11
Aiphru                                         11
Timo Taskinen                                  11
Cyrus Yip                                      11
Adrian Pop                                     11
dyegoaurelio                                   11
xxchan                                         11
Paul Vatterott                                 11
TeaLeavesJumping                               11
nilendrasinghsisodiya                          11
LunaChocken                                    11
z7y8hsBP                                       11
Abhay Mittal                                   11
Furkan                                         11
marcel                                         11
Lauren Szlosek                                 11
Daniel Berlin                                  11
Tristan Jahnke                                 11
Dany Marcoux                                   11
Sophia Behling                                 11
Felipe Pena                                    11
endorama                                       11
vatana7                                        11
maybeetree                                     11
Vitor Appolinario                              11
shellheim                                      11
Matthew Piercey                                11
FL                                             11
Suyash Bhawsar                                 11
plastik-flasche                                11
serjepatoff                                    11
Danesh Manoharan                               11
AKILAN C K                                     11
singhishan                                     10
Pierre Hoffmeister                             10
Jan                                            10
BoolPurist                                     10
Jordan Lambrecht                               10
Abdulsalaam Noibi                              10
George Karras                                  10
Q                                               9
Garvit Singh                                    9
Shaswat Srivastava                              9
Abhishek Keshri                                 9
ivanhercaz                                      9
David Ansart                                    9
T16K                                            9
Adam Monsen                                     9
William Underwood                               9
Lambert Rao                                     9
Myzel394                                        9
Tyler Lutz                                      9
CanonNi                                         9
Muralikrishnan                                  9
diver                                           9
Austin                                          9
Graham                                          9
Fern Dragonborn                                 9
Michał Gąsior                                   9
Rail                                            9
Florian B                                       9
lsomm                                           9
mihailstoynov                                   9
Ewen Le Bihan                                   9
Dainis                                          9
h-bunny                                         9
Alfred                                          9
Isaac-Carrascal                                 8
Siriusmart                                      8
Lee Katz                                        8
Arvind Selva Jas J S                            8
Harry Cui Kepler                                7
Proscream                                       7
Hash-AK                                         7
Lucas Soares                                    7
debghs                                          7
Clathweppes                                     7
TornaxO7                                        7
Starbeamrainbowlabs                             7
wangme88                                        7
Quentin Klein                                   7
subhash-iiitm                                   7
Primedi                                         7
Alwin Lohrie                                    7
Caughlin Bohn                                   7
Abdul Rafay                                     7
funwaa                                          7
Santosh Shrestha                                7
Bacchus Jackson (JaX)                           7
Terence Chen                                    7
AA                                              5
Riyaz Siddiqui                                  5
Enrique Matías Sánchez                          5
Yrsa97                                          5
Fossen93                                        5
Stefan Herpich                                  5
Mohit Agarwal                                   5
PARTH PRATYUSH                                  5
Franz                                           5
Randy Sugianto (Yuku)                           5
dz-at-tc                                        5
ElnurBDa                                        5
Farzad Hayat                                    5
Maas                                            5
Merjem Bajramovic                               4
Vedika Rathi                                    4
Javad Razi                                      4
Martin Blume                                    4
Johannes                                        4
Alexx                                           4
Ethan Kinnear                                   4
Martin Hübner                                   4
Keith                                           4
IACS CSU 2020                                   4
Kieran                                          4
Varad Rane                                      4
Narfinger                                       4
Nissaar                                         4
Horizon Chaser                                  4
dependabot[bot]                                 3
Zlatan Vasović                                  2
